vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title,overview_vader_pos,overview_vader_neg,overview_vader_neu,overview_vader_compound,tagline_vader_pos,tagline_vader_neg,tagline_vader_neu,tagline_vader_compound,overview_word_count,tagline_word_count
6.6,50000000,260095987,37.069253,112.0,2435,210095987,5.20191974,17.72753358339242,19.37656130546332,3.639406948452488,426,7.5,7.5,7.52,2011.0,8.0,2010.0,1,1,1,3,2,1,Super 8,0.14,0.163,0.697,-0.6182,0.0,0.0,1.0,0.0,71,2
7.1,52000000,256271286,30.347332,131.0,716,204271286,4.928293961538461,17.76675429577647,19.36174715618618,3.4451291597891456,312,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Erin Brockovich,0.092,0.213,0.695,-0.7902,0.141,0.0,0.859,0.3182,53,15
6.3,50000000,177371441,23.854701,116.0,850,127371441,3.54742882,17.72753358339242,18.99375663404668,3.213046909701596,492,7.5,7.5,7.52,2003.0,7.0,2000.0,1,1,1,3,2,1,How to Lose a Guy in 10 Days,0.143,0.012,0.845,0.9384,0.0,0.298,0.702,-0.5267,92,9
7.0,50000000,188441614,52.380982,112.0,3319,138441614,3.76883228,17.72753358339242,19.05429878212661,3.9774545402103136,554,7.5,7.5,7.52,2014.0,5.0,2010.0,1,0,1,3,1,1,22 Jump Street,0.109,0.0,0.891,0.9109,0.0,0.0,1.0,0.0,97,4
7.2,60000000,223664608,50.163785,123.0,1516,163664608,3.7277434666666656,17.909855136853043,19.22565820652359,3.9350319575549135,113,7.5,7.5,7.52,1994.0,11.0,1990.0,0,0,1,3,3,1,Interview with the Vampire,0.157,0.321,0.522,-0.5267,0.0,0.0,1.0,0.0,18,6
6.4,70000000,225990978,43.849351,104.0,1813,155990978,3.228442542857143,18.064005814299342,19.23600564051069,3.803309117943028,132,7.5,7.5,7.52,2008.0,9.0,2000.0,1,0,1,3,3,1,Yes Man,0.277,0.057,0.667,0.765,0.0,0.0,1.0,0.0,24,5
6.2,50000000,216972543,45.318703,107.0,1650,166972543,4.33945086,17.72753358339242,19.195281378154103,3.8355458320091502,130,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Central Intelligence,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20,11
6.9,0,0,16.368283,124.0,277,0,0.0,0.0,0.0,2.8546457267776475,349,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,0,3,1,Stepmom,0.109,0.109,0.781,0.25,0.203,0.102,0.695,0.4404,59,15
5.8,50000000,242786137,38.616744,96.0,854,192786137,4.85572274,17.72753358339242,19.30769152326279,3.679251857176575,266,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Daddy's Home,0.183,0.06,0.757,0.7184,0.0,0.0,1.0,0.0,41,3
5.6,50000000,212902372,65.90161,125.0,1652,162902372,4.25804744,17.72753358339242,19.17634427587956,4.203223032614413,150,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Into the Woods,0.0,0.248,0.752,-0.836,0.518,0.0,0.482,0.5106,30,6
7.3,45000000,184376254,45.220386,129.0,1630,139376254,4.097250088888889,17.622173069956816,19.032489091814853,3.833420956174408,361,7.325,7.3,7.577777777777778,2005.0,7.0,2000.0,0,0,1,3,3,1,Inside Man,0.0,0.153,0.847,-0.8608,0.377,0.0,0.623,0.783,56,16
6.7,90000000,161626121,17.457947,100.0,548,71626121,1.7958457888888888,18.31532023940565,18.90079633702756,2.9154950094555807,325,7.5,7.5,7.52,1999.0,5.0,1990.0,0,0,1,3,1,1,Payback,0.073,0.28,0.648,-0.9432,0.372,0.266,0.362,0.2212,59,5
5.0,50000000,152022101,10.755847,109.0,213,102022101,3.04044202,17.72753358339242,18.839536476134583,2.464350733841153,249,7.5,7.5,7.52,1995.0,9.0,1990.0,0,0,1,3,3,1,Congo,0.0,0.149,0.851,-0.7906,0.0,0.0,1.0,0.0,42,6
6.5,50000000,120081841,38.629763,124.0,909,70081841,2.40163682,17.72753358339242,18.60368408494531,3.67958042686652,329,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,We Bought a Zoo,0.027,0.126,0.847,-0.8018,0.483,0.0,0.517,0.4215,66,4
5.9,50000000,155446362,32.693093,121.0,1486,105446362,3.10892724,17.72753358339242,18.86181129760479,3.517292860862455,275,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Knowing,0.037,0.02,0.943,0.2263,0.0,0.0,1.0,0.0,53,3
5.5,50000000,88715192,18.806031,97.0,399,38715192,1.77430384,17.72753358339242,18.300941717843283,2.985986487280154,396,7.5,7.5,7.52,2006.0,10.0,2000.0,1,0,1,3,3,1,Failure to Launch,0.23,0.065,0.705,0.9303,0.0,0.107,0.893,-0.0516,72,11
5.4,50000000,161451538,32.233713,110.0,632,111451538,3.22903076,17.72753358339242,18.899715587486085,3.503564812507245,80,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,The Ring Two,0.067,0.267,0.667,-0.6486,0.0,0.589,0.411,-0.6486,13,4
7.0,50000000,142851197,37.990705,118.0,2443,92851197,2.85702394,17.72753358339242,18.777314073025213,3.663323284390411,437,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,"Crazy, Stupid, Love.",0.222,0.0,0.778,0.9661,0.0,0.63,0.37,-0.5267,78,3
5.2,50000000,200804534,17.667826,80.0,820,150804534,4.01609068,17.72753358339242,19.11784253018817,2.926801507281328,262,7.5,7.5,7.52,2004.0,10.0,2000.0,1,0,1,3,3,1,Garfield,0.167,0.088,0.744,0.667,0.6,0.0,0.4,0.5423,49,5
5.2,60000000,0,9.225166,99.0,193,-60000000,0.0,17.909855136853043,0.0,2.3248519365159104,241,7.5,7.5,7.52,2005.0,7.0,2000.0,0,0,1,3,3,1,Christmas with the Kranks,0.114,0.0,0.886,0.6597,0.0,0.0,1.0,0.0,44,3
7.0,50000000,110206216,46.180421,133.0,1381,60206216,2.20412432,17.72753358339242,18.517863868699774,3.85397899721229,187,7.0,7.625,7.285714285714286,2005.0,7.0,2000.0,0,0,1,3,3,1,Moneyball,0.123,0.0,0.877,0.5859,0.354,0.0,0.646,0.2944,28,5
