vote_average,budget,revenue,popularity,runtime,vote_count,profit,roi,log_budget,log_revenue,log_popularity,overview_length,director_success_rate,lead_actor_success_rate,genre_popularity_score,release_year,release_month,decade,is_modern,is_summer_release,has_tagline,budget_tier_encoded,release_season_encoded,is_english,title
8.1,165000000,675120017,724.247784,169.0,10867,510120017,4.0916364666666665,18.92145603792546,20.330401037475912,6.586513367498742,222,7.942857142857142,8.0,7.7,2014.0,5.0,2010.0,1,0,1,3,1,1,Interstellar
8.1,160000000,825532764,167.58371,148.0,13752,665532764,5.159579775,18.8906843794481,20.531539511633092,5.127432421682736,280,7.942857142857142,7.6875,7.45625,2005.0,7.0,2000.0,0,0,1,3,3,1,Inception
6.5,15000000,77000000,9.476999,120.0,143,62000000,5.133333333333334,16.52356082573315,18.15931599280497,2.3491822829236533,466,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,1,3,0,Shin Godzilla
7.0,250000000,1021103568,108.849621,169.0,8297,771103568,4.084414272,19.33697147982652,20.74414980976988,4.699112348665359,181,7.74,7.0,7.3,2005.0,7.0,2000.0,0,0,1,3,3,1,The Hobbit: An Unexpected Journey
6.6,38000000,207283925,6.909942,106.0,3428,169283925,5.454840131578948,17.453096744006448,19.149600034602248,2.068120449262161,256,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,2,3,1,The Fast and the Furious
7.3,150000000,333932083,60.269279,166.0,3292,183932083,2.2262138866666668,18.826145858727198,19.62644818894696,4.11527855908223,95,7.5875,7.625,7.4,2005.0,7.0,2000.0,0,0,1,3,3,1,The Curious Case of Benjamin Button
7.1,160000000,353624124,3.195174,132.0,5181,193624124,2.210150775,18.8906843794481,19.683745113210374,1.4339348170089234,326,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,X-Men: First Class
6.6,160000000,653428261,127.284427,137.0,3984,493428261,4.08392663125,18.8906843794481,20.297743309945446,4.854249884675382,513,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Hunger Games: Mockingjay - Part 2
5.8,150000000,215283742,35.580815,109.0,1470,65283742,1.435224946666667,18.826145858727198,19.187467450891013,3.599523922648916,434,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Sorcerer's Apprentice
5.5,160000000,181674817,21.133748,99.0,583,21674817,1.13546760625,18.8906843794481,19.017728932677564,3.0971035025785407,153,7.5,7.5,7.5200000000000005,2006.0,12.0,2000.0,1,0,1,3,0,1,Poseidon
6.5,170000000,299370084,56.268916,113.0,1725,129370084,1.7610004941176471,18.951309000896888,19.51719110845815,4.047757998341177,142,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Alice Through the Looking Glass
6.0,160000000,798958165,42.986467,93.0,2278,638958165,4.99348853125,18.8906843794481,20.49881914441239,3.783882018427649,273,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Shrek the Third
6.3,160000000,433677183,63.148529,123.0,2268,273677183,2.71048239375,18.8906843794481,19.88781099962835,4.161201160167401,409,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Warcraft
5.8,155000000,440603537,202.042635,126.0,3631,285603537,2.842603464516129,18.858935681335133,19.903656022259423,5.313415981620244,321,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Terminator Genisys
6.2,155000000,415686217,49.661984,113.0,1514,260686217,2.6818465612903224,18.858935681335133,19.845441249956647,3.9251758068544462,204,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,The Chronicles of Narnia: The Voyage of the Dawn Treader
6.6,140000000,449220945,34.20669,183.0,1791,309220945,3.208721035714286,18.757152987716434,19.923025409305108,3.5612361213637245,379,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Pearl Harbor
6.6,150000000,709709780,25.468493,144.0,4040,559709780,4.7313985333333335,18.826145858727198,20.38036668527991,3.2759550822420254,276,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Transformers
5.6,155000000,167298192,39.019229,175.0,927,12298192,1.0793431741935484,18.858935681335133,18.935288364942355,3.6893600636026913,236,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Alexander
7.4,150000000,938212738,78.144395,138.0,5494,788212738,6.254751586666667,18.826145858727198,20.65948728189478,4.371273968911125,318,7.5,7.5,7.5200000000000005,2005.0,7.0,2000.0,0,0,1,3,3,1,Harry Potter and the Order of the Phoenix
7.5,150000000,895921036,101.250416,157.0,5608,745921036,5.9728069066666665,18.826145858727198,20.61336283870746,4.6274248633742925,261,7.45,7.533333333333334,7.459999999999999,2005.0,5.0,2000.0,1,0,1,3,1,1,Harry Potter and the Goblet of Fire
